Placa;Renavam;Status;Nome Empresa;Nome Consórcio;Número Célula;Número Ordem;Cor;Tipo Veículo;Tipo Cadastro;Padrão Veículo;Tipo Pneu;Padrão Serviço;Número Chassi;Ano Chassi;Modelo Chassi;Modelo Carroceria;Ano Carroceria;Potência Motor;Localização Motor;Tipo Câmbio;Tipo Suspensão;Largura Porta Dianteira Esquerda;Largura Porta Dianteira Direita;Largura Porta Central Esquerda;Largura Porta Central Direita;Largura Porta Traseira Esquerda;Largura Porta Traseira Direita;Quantidade Assentos;Peso Veiculo;Capacidade Tanque1;Capacidade Tanque2;Largura Antes Roleta;Largura Apos Roleta;Comprimento Antes Roleta;Comprimento Apos Roleta;Largura Area Deficientes;Comprimento Area Deficientes;Quantidade Portas Esquerda;Quantidade Portas Direita;Quantidade de Elevador;Quantidade de Wifi;Quantidade de Ar condicionado;Quantidade de TV;Quantidade de GPS;Quantidade de Câmera;Quantidade de Validadores;Quantidade de Roleta eletronica;Quantidade de Suporte de bicicleta
GVI6839;00793224551;Baixado;RIT: 5 - Célula: 4 - S&M TRANSPORTES S/A (TURILESSA);LINHA VERDE;4;50098;Vermelho;Pesado;Metropolitano;Padron;;Comercial;1;2002;Mbb of1721 euro v;Marcopolo torino u;2002;211;Dianteiro;Manual;Molas;;110;;0;;110;42;17000;150;;110;60;110;680;60;80;0;2;0;0;0;0;0;0;0;1;0
QUE9984;01196854421;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87193;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078LB134132;2019;Mbb of1721 euro v;Comil svelto u;2020;208;Dianteiro;Manual;Molas;00;95;00;95;00;95;42;17000;300;40;65;60;100;822;130;120;0;3;1;0;0;0;0;4;1;1;0
HJZ5021;00180956949;Baixado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38008;Vermelho;Leve;Metropolitano;Midi;;Comercial;9BM384067AB676917;2009;Mbb of1418;Induscar apache u;2010;177;Dianteiro;Manual;Molas;;95;;0;;110;38;14000;300;;95;65;90;750;80;120;0;2;1;0;0;0;0;0;0;1;0
QUE9971;01196854316;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87194;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078LB134046;2019;Mbb of1721 euro v;Comil svelto u;2020;208;Dianteiro;Manual;Molas;00;95;00;00;00;95;42;17000;300;32;65;60;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
HJA7237;00256366730;Bloqueado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;97160;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9532L82W4AR050845;2010;Volkswagen 17.230eod;Comil svelto u;2010;225;Dianteiro;Manual;Molas;0;110;0;110;0;110;38;16000;275;;95;65;100;822;80;120;0;3;1;0;0;0;0;4;1;1;0
QUE9986;01196854472;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87195;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078LB133669;2019;Mbb of1721 euro v;Comil svelto u;2020;208;Dianteiro;Manual;Molas;00;95;00;95;00;95;42;17000;300;40;65;60;100;822;80;120;0;3;1;0;0;0;0;4;1;1;0
HJZ5032;00181881110;Baixado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38009;Vermelho;Leve;Metropolitano;Midi;;Comercial;9BM384067AB676862;2009;Mbb of1418;Induscar apache u;2010;177;Dianteiro;Manual;Molas;;90;;0;;130;38;14000;300;;100;65;140;630;80;130;0;2;1;0;0;0;0;0;0;1;0
QUF1569;01197034592;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87196;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078LB134144;2019;Mbb of1721 euro v;Comil svelto u;2020;208;Dianteiro;Manual;Molas;00;95;00;00;00;95;42;17000;300;32;65;60;110;822;80;120;0;2;1;0;0;0;0;4;1;1;0
HER3805;00351321772;Bloqueado;RIT: 3 - Célula: 5 - TURILESSA LTDA;METROPOLITANO DE TRANSPORTES;5;25894;Vermelho;Leve;Metropolitano;Midi;;Comercial;9BM384067BB797150;2011;Mbb of1418;Induscar foz u;2011;177;Dianteiro;Manual;Molas;0;110;0;110;0;110;32;17000;300;;60;65;100;822;80;120;0;3;1;0;0;0;0;4;1;1;0
QUF1567;01197052531;Aprovado;RIT: 1 - Célula: 5 - VIAÇÃO TRANSMOREIRA;VIA AMAZONAS;5;87197;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078FB134153;2019;Mbb of1721 euro v;Comil svelto u;2020;208;Dianteiro;Manual;Molas;00;95;00;00;00;95;42;17000;300;32;65;60;110;822;80;120;0;2;1;0;0;0;0;4;1;1;0
